campus,method,survey_year,year,site,latitude,longitude,MPA_Name,site_designation,site_status
UCSB,SBTL_UPC,2023,2023,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2012,2012,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,1999,1999,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2011,2011,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2018,2018,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2015,2015,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2022,2022,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2005,2005,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2015,2015,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2014,2014,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2003,2003,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2005,2005,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,1999,1999,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2010,2010,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2002,2002,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2008,2008,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2021,2021,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2002,2002,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2016,2016,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2007,2007,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2003,2003,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2003,2003,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2019,2019,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2005,2005,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2013,2013,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2007,2007,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2006,2006,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2004,2004,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2018,2018,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2009,2009,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2023,2023,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2005,2005,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2021,2021,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2002,2002,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2002,2002,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2022,2022,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2012,2012,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2007,2007,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2012,2012,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2017,2017,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2016,2016,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2004,2004,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2000,2000,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2011,2011,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2006,2006,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2004,2004,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2007,2007,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2020,2020,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2017,2017,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2023,2023,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2006,2006,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2009,2009,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2000,2000,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2019,2019,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2015,2015,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2016,2016,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2010,2010,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2019,2019,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2020,2020,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2008,2008,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2000,2000,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2006,2006,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2011,2011,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2010,2010,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2022,2022,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2001,2001,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2009,2009,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2001,2001,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2000,2000,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2008,2008,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2017,2017,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2014,2014,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2004,2004,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2009,2009,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2014,2014,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2013,2013,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,1999,1999,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2001,2001,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2021,2021,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2018,2018,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2001,2001,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2020,2020,ANACAPA_EAST_ISLE_E,34.0170,-119.3611,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2000,2000,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2005,2005,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2013,2013,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2018,2018,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2019,2019,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2014,2014,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2007,2007,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2008,2008,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2007,2007,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2006,2006,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2021,2021,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2009,2009,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,1999,1999,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2020,2020,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2020,2020,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2011,2011,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2004,2004,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2022,2022,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2012,2012,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2018,2018,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2011,2011,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2017,2017,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2000,2000,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2022,2022,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2023,2023,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2002,2002,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2001,2001,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2005,2005,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2018,2018,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2010,2010,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2019,2019,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2012,2012,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2001,2001,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2004,2004,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2003,2003,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2003,2003,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2010,2010,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2008,2008,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2002,2002,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2007,2007,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2015,2015,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2009,2009,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2009,2009,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2003,2003,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2006,2006,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,1999,1999,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2017,2017,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2005,2005,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2008,2008,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2006,2006,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2011,2011,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,1999,1999,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2015,2015,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2016,2016,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2017,2017,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2007,2007,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2004,2004,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2016,2016,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2016,2016,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2003,2003,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2005,2005,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2022,2022,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2020,2020,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2001,2001,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2000,2000,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2023,2023,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2013,2013,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2014,2014,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2014,2014,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2009,2009,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2010,2010,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2019,2019,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2004,2004,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2002,2002,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2001,2001,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_FISH,2002,2002,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2023,2023,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2021,2021,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2015,2015,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2012,2012,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_SWATH,2021,2021,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_QUAD,2006,2006,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2000,2000,ANACAPA_EAST_ISLE_W,34.0159,-119.3717,Anacapa Island SMR,SMR,MPA
UCSB,SBTL_UPC,2009,2009,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2015,2015,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2012,2012,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2008,2008,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2005,2005,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2021,2021,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2007,2007,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2011,2011,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2022,2022,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2023,2023,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2016,2016,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2008,2008,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2020,2020,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2019,2019,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_QUAD,2009,2009,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2014,2014,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_QUAD,2010,2010,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2018,2018,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2007,2007,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2018,2018,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2011,2011,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2014,2014,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2021,2021,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2020,2020,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2023,2023,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2015,2015,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2015,2015,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2019,2019,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2020,2020,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH_CRANE,2004,2004,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2022,2022,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_FISH,2022,2022,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2009,2009,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_SWATH,2010,2010,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
UCSB,SBTL_UPC,2011,2011,ANACAPA_LIGHTHOUSE_REEF_CEN,34.0128,-119.3631,Anacapa Island SMR,reference,reference
